Tangra v3.6.0.17
Measurments of 1 objects
C:\Users\joelhcch\Documents\2022A\Clases\LAB_Avanzado_UABC\ReducirDatos\Fotos 2019-06-19 Pruebas Finales\Prueba1 1.6mm2.18m
Asteroidal Video (FITS.16::SEQ), Time: Timestamp Saving During Recording


Reversed Gamma, Colour, Measured Band, Integration, Digital Filter, Signal Method, Background Method, Instrumental Delay Corrections, Camera, AAV Integration, First Frame, Last Frame, Reversed Camera Response, Video File Format
1.00,no,Red,no,NoFilter,AperturePhotometry,AverageBackground,Not Required,,,1,953,,FITS

Object, Type, Aperture, Tolerance, FWHM, Measured, StartingX, StartingY, Fixed
1,OccultedStar,15.00,2.00,NaN,yes,41.0,32.0,no


FrameNo,Time (JD),SignalMinusBackground (1)
158,2458654.30157866,5959000
159,2458654.30157873,5942700
160,2458654.30157932,5991300
161,2458654.30157991,6026000
162,2458654.3015805,6064500
163,2458654.30158138,6012800
164,2458654.3015817,5982100
165,2458654.30158228,6028900
166,2458654.30158288,5935100
167,2458654.30158348,5928100
168,2458654.30158443,5960700
169,2458654.30158466,5963500
170,2458654.30158526,5997600
171,2458654.30158587,6031500
172,2458654.30158646,6026200
173,2458654.30158733,5997400
174,2458654.30158765,5958800
175,2458654.30158823,5922300
176,2458654.30158883,5927400
177,2458654.30158943,5978500
178,2458654.3015903,6018000
179,2458654.3015906,5963800
180,2458654.3015912,5971700
181,2458654.3015918,5946800
182,2458654.30159241,6010400
183,2458654.30159327,5970000
184,2458654.30159358,5999300
185,2458654.30159418,5992000
186,2458654.30159477,6062000
187,2458654.30159536,6050500
188,2458654.30159632,6037700
189,2458654.30159655,6012100
190,2458654.30159715,6026200
191,2458654.30159775,6001600
192,2458654.30159833,5933000
193,2458654.30159921,5931600
194,2458654.3015996,5923300
195,2458654.30160011,5939800
196,2458654.30160073,5956500
197,2458654.30160132,5963100
198,2458654.30160219,6012100
199,2458654.30160251,6077000
200,2458654.30160309,5982500
201,2458654.30160369,6015100
202,2458654.30160429,5944600
203,2458654.30160515,5919900
